date,party,winner,loser
2015-04-03,six,M20,M04
2015-04-04,six,M15,M04
2015-04-06,six,M51,M21
2015-04-06,six,M21,M32
2015-04-08,six,M35,M06
2015-04-08,six,M35,M56
2015-04-09,nine,M49,M44
2015-04-11,nine,M05,M44
2015-04-12,six,M21,M32
2015-04-16,nine,M05,M44
2015-04-16,nine,M05,M44
2015-04-17,six,M59,M15
2015-04-17,six,M51,M21
2015-04-17,six,M15,M04
2015-04-20,six,M51,M20
2015-04-23,six,M24,M59
2015-04-27,six,M06,M24
2015-04-28,nine,M05,M42
2015-04-28,nine,M31,M44
2015-04-28,nine,M31,M44
2015-04-29,six,M20,M04
2015-05-01,six,M35,M59
2015-05-01,six,M28,M21
2015-05-04,nine,M42,M12
2015-05-05,six,M51,M04
2015-05-05,six,M35,M56
2015-05-05,six,M21,M04
2015-05-06,nine,M11,M12
2015-05-06,nine,M62,M44
2015-05-06,nine,M05,M42
2015-05-06,six,M04,M32
2015-05-06,six,M24,M59
2015-05-06,six,M17,M59
2015-05-06,six,M21,M04
2015-05-06,six,M59,M04
2015-05-06,six,M59,M04
2015-05-08,six,M20,M59
2015-05-10,six,M17,M21
2015-05-10,six,M17,M51
2015-05-10,six,M17,M28
2015-05-10,six,M56,M06
2015-05-11,nine,M62,M39
2015-05-12,six,M17,M32
2015-05-12,six,M28,M24
2015-05-12,six,M28,M56
2015-05-13,nine,M42,M44
2015-05-13,nine,M11,M39
2015-05-15,six,M21,M32
2015-05-17,six,M06,M51
2015-05-19,six,M28,M32
2015-05-19,six,M21,M32
2015-05-19,six,M56,M04
2015-05-21,six,M56,M06
2015-05-21,six,M56,M04
2015-05-21,six,M35,M51
2015-05-21,six,M17,M06
2015-05-25,nine,M44,M49
2015-05-29,nine,M42,M12
2015-05-30,six,M20,M15
2015-05-30,six,M20,M15
2015-06-03,six,M17,M32
2015-06-05,six,M28,M24
2015-06-05,six,M35,M56
2015-06-05,six,M59,M15
2015-06-09,six,M51,M32
2015-06-09,six,M21,M32
2015-06-09,six,M17,M51
2015-06-09,six,M17,M24
2015-06-10,nine,M49,M44
2015-06-11,nine,M31,M05
2015-06-12,six,M17,M24
2015-06-13,six,M04,M56
2015-06-14,six,M28,M32
2015-06-17,six,M20,M04
2015-06-17,six,M59,M21
2015-06-18,nine,M49,M44
2015-06-20,nine,M05,M44
2015-06-20,nine,M49,M44
2015-06-20,nine,M42,M12
2015-06-21,six,M28,M32
2015-06-21,six,M20,M59
2015-06-23,nine,M49,M44
2015-06-25,six,M17,M32
2015-06-26,nine,M49,M62
2015-06-26,nine,M11,M39
2015-06-26,nine,M49,M31
2015-06-27,six,M35,M20
2015-06-28,nine,M49,M44
2015-06-28,nine,M62,M42
2015-07-04,six,M17,M51
2015-07-10,nine,M62,M12
2015-07-12,six,M35,M15
2015-07-13,six,M28,M32
2015-07-15,six,M28,M32
2015-07-16,nine,M42,M12
2015-07-16,nine,M49,M31
2015-07-19,six,M20,M59
2015-07-20,six,M28,M24
2015-07-20,six,M17,M21
2015-07-21,nine,M12,M39
2015-07-22,six,M51,M17
2015-07-25,six,M20,M04
2015-07-25,six,M17,M32
2015-07-25,six,M28,M32
2015-07-25,six,M59,M32
2015-07-25,six,M28,M59
2015-07-25,six,M17,M32
2015-07-27,nine,M11,M42
2015-07-27,six,M56,M04
2015-07-27,six,M28,M32
2015-07-29,six,M28,M59
2015-08-03,nine,M49,M44
2015-08-03,nine,M11,M42
2015-08-19,six,M17,M32
2015-08-21,six,M24,M32
2015-08-22,six,M20,M15
2015-08-26,six,M28,M32
2015-08-26,six,M28,M06
2015-08-26,six,M21,M32
2015-08-26,six,M21,M32
2015-08-26,six,M17,M15
2015-08-29,six,M59,M15
2015-09-04,six,M17,M06
2015-09-04,six,M17,M21
2015-09-07,six,M59,M15
2015-09-07,six,M28,M51
2015-09-12,six,M17,M21
2015-09-12,six,M17,M51
2015-09-14,nine,M11,M12
2015-09-16,nine,M49,M44
2015-09-18,six,M17,M32
2015-09-19,nine,M11,M44
2015-09-19,nine,M42,M12
2015-09-20,six,M17,M32
2015-09-21,six,M59,M51
2015-09-23,nine,M05,M12
2015-10-02,six,M20,M17
2015-10-02,six,M17,M20
2015-10-02,six,M28,M06
2015-10-02,six,M20,M17
2015-10-02,six,M24,M59
2015-10-06,six,M28,M06
2015-10-06,six,M20,M15
2015-10-08,six,M20,M04
2015-10-11,nine,M49,M44
2015-10-15,six,M20,M15
2015-10-15,six,M15,M04
2015-10-15,six,M59,M04
2015-10-16,six,M04,M06
2015-10-19,six,M17,M51
2015-10-20,six,M24,M32
2015-10-20,six,M04,M20
2015-10-24,nine,M49,M02
2015-12-08,six,M28,M51
2015-12-08,six,M20,M04
2015-12-09,nine,M49,M44
2015-12-10,five,M54,M16
2015-12-11,six,M20,M04
2015-12-12,nine,M39,M02
2015-12-14,six,M20,M04
2015-12-17,nine,M49,M44
2015-12-18,nine,M31,M02
2015-12-19,nine,M42,M12
2015-12-20,six,M24,M32
2015-12-20,six,M24,M32
2015-12-21,nine,M44,M02
2015-12-27,five,M55,M16
2015-12-28,six,M17,M51
2016-01-02,nine,M49,M62
2016-01-11,six,M59,M04
2016-01-12,nine,M44,M02
2016-01-13,six,M20,M04
2016-01-17,six,M20,M59
2016-01-19,five,M27,M16
2016-01-23,five,M43,M09
2016-01-24,six,M20,M35
2016-01-24,six,M17,M32
2016-01-24,six,M21,M32
2016-01-25,six,M17,M51
2016-01-26,five,M55,M16
2016-01-26,six,M17,M51
2016-01-27,nine,M44,M02
2016-02-01,five,M54,M09
2016-02-04,five,M43,M27
2016-02-05,nine,M05,M02
2016-02-05,nine,M05,M02
2016-02-09,nine,M42,M11
2016-02-09,nine,M62,M44
2016-02-10,six,M59,M32
2016-02-12,nine,M39,M02
2016-02-13,six,M24,M04
2016-02-16,nine,M42,M11
2016-02-17,six,M24,M32
2016-02-17,six,M35,M59
2016-02-18,six,M24,M32
2016-02-19,nine,M49,M31
2016-02-20,six,M35,M20
2016-02-20,six,M35,M15
2016-02-20,six,M35,M15
2016-02-22,five,M54,M16
2016-02-23,nine,M42,M02
2016-02-23,nine,M11,M02
2016-02-24,six,M51,M06
2016-02-24,six,M35,M32
2016-02-25,nine,M12,M39
2016-02-25,nine,M42,M39
2016-02-26,six,M20,M59
2016-02-26,six,M59,M51
2016-02-26,six,M28,M20
2016-02-26,six,M17,M20
2016-02-26,six,M59,M04
2016-03-01,nine,M39,M11
2016-03-01,nine,M42,M39
2016-03-01,nine,M49,M02
2016-03-01,nine,M31,M49
2016-03-02,six,M20,M04
2016-03-02,six,M35,M51
2016-03-04,nine,M12,M39
2016-03-04,nine,M12,M39
2016-03-05,six,M20,M17
2016-03-05,six,M21,M17
2016-03-05,six,M20,M15
2016-03-05,six,M21,M04
2016-03-07,nine,M42,M39
2016-03-07,nine,M05,M02
2016-03-07,six,M06,M04
2016-03-08,six,M51,M32
2016-03-08,six,M35,M06
2016-03-09,six,M35,M28
2016-03-14,nine,M05,M02
2016-03-15,six,M24,M32
